項次,縣市,流向編號,場所名稱,地址,功能,場所類別,面積(m²),B1~B7核准填埋量(m³),B1~B7剩餘填埋量(m³),B1~B7核准處理量/年(m³),B6~B7核准處理量/年(m³),營運期限,收受土質,latitude,longitude,geocode_status
130,花蓮縣,DEC02757,威神企業有限公司,花蓮縣吉安鄉光華村6鄰華城6街35號,加工型,砂石場,21500.0,0.0,0.0,250000.0,0,2025/01/20~2028/01/19,B1、B2-1、B2-2、B2-3、B3、B4、B5、B6、B7,,,NOT_FOUND
131,花蓮縣,DYL10883,新展東股份有限公司,花蓮縣秀林鄉和平村和平30之16號,加工型,私人團體設置土資場,15223.35,0.0,0.0,247500.0,247500,2025/12/10~2028/12/09,B1、B2-1、B2-2、B2-3、B3、B4、B5、B6,,,NOT_FOUND
133,花蓮縣,DYJ21587,聯發企業,花蓮縣吉安鄉光華村華工五路9號,加工型,土石碎解洗選場,24159.52,0.0,0.0,200000.0,0,2025/10/13~2028/10/12,B1、B2-1、B2-2、B2-3、B3、B4、B5、B6,,,NOT_FOUND
134,台東縣,DWI01985,再生實業社,台東縣卑南鄉泰安村泰安350-35號,加工型、轉運型,私人團體設置土資場,11783.9,0.0,0.0,21260.34,0,2023/08/24~2028/08/23,B1、B2-1、B2-2、B2-3、B3、B4、B5、B6、B7,,,NOT_FOUND
135,台東縣,DUI01454,再興土石方資源處理有限公司,台東縣卑南鄉明峰村20鄰27號,加工型、轉運型,私人團體設置土資場,11581.57,0.0,0.0,240000.0,0,2021/08/25~2026/08/24,B1、B2-1、B2-2、B2-3、B3、B4、B5,,,NOT_FOUND
136,台東縣,DDB25980,澄憶土石方資源堆置場,台東縣台東市中華路二段705號,加工型、轉運型,私人團體設置土資場,13361.0,0.0,0.0,194400.0,0,2024/04/16~2029/04/16,B1、B2-1、B2-2、B2-3、B3、B4、B5、B6、B7,,,NOT_FOUND
137,台東縣,DFE10611,上勇開發有限公司,台東縣台東市中興路四段2巷165號,加工型、轉運型,私人團體設置土資場,8864.52,0.0,0.0,480000.0,0,2006/03/20~2026/03/19,B1、B2-1、B2-2、B2-3、B3、B4、B5、B6、B7,,,NOT_FOUND
138,金門縣,DIE15383,金三榮土石方資源堆置處理場,金門縣金湖鎮三谿橋12-2號,加工型、轉運型,私人團體設置土資場,20461.96,0.0,0.0,150000.0,0,2025/11/23~2028/11/22,B1、B2-1、B2-2、B2-3、B3、B4、B5,,,NOT_FOUND
139,金門縣,DNE22751,白乳山土石方資源堆置處理場,金門縣金寧鄉環島南路二段350巷5-1號,填埋型,政府公有設置土資場,90000.0,244000.0,140000.0,244000.0,244000,2014/04/15~2027/12/31,B1、B2-1、B2-2、B2-3、B3、B4、B5,,,NOT_FOUND
140,連江縣(馬祖),DFD03920,連江縣南竿鄉營建土資場,連江縣馬祖南竿鄉復興段90號,加工型、轉運型,政府公有設置土資場,17978.0,0.0,0.0,200000.0,0,2006/04/03~2030/12/31,B1、B2-1、B2-2、B2-3、B3、B4、B5,,,NOT_FOUND
