county,fac_no,fac_name,fac_addr,audittype,userclass,deadline_start_date,deadline_end_date,waste_no,waste_name,waste_source,reu_purp_notes,waste_reu_value,totalqty_unit
南投縣,M36A2491,恆源綠能科技股份有限公司,(557)南投縣竹山鎮中崎里集山路三段一六七三之一○號,公告/附表,內政部(營造業),20250603,20300603,R-0701,廢木材,"公告可直接再利用：事業產生之廢木材（板、屑、木質電桿、木質橫擔或枕木）。但依相關法規認定為有害事業廢棄物者，不適用之。(交通部逕依通傳會,通傳會) 公告可直接再利用；事業產生之廢木材（板、屑、木質電桿、木質橫擔或枕木）。但依相關法規認定為有害事業廢棄物者，不適用之。(交通部逕依經濟部,通傳會逕依經濟部,經濟部) 事業廢棄物來源：事業產生之廢木材（板、屑）(內政部(營造業),交通部逕依內政部(營造業),通傳會逕依內政部(營造業)) 事業產生之廢木材（板、屑）(交通部,通傳會逕依交通部)",燃料原料,1800,公噸/月
新竹縣,J63A3270,晉園工程股份有限公司-紘園土石方資源堆置場,(308)新竹縣寶山鄉三叉凸段二二四八、二三二四至二三二七、二三五○至二三六八、二四二八至二四三三、二四三五、二四五五至二四六三、二四六八、二五四六至二五五六、二五八○、二五八四至二五九四地號,公告/附表,內政部(營造業),20260106,20310106,R-0503,營建混合物,"工程施工建造、建築拆除、裝修工程及整地刨除所產生之事業廢棄物 (內政部(營造業))",非農業用地工程填地及道路工程級配料,19168,公噸/月
新竹縣,J63A3270,晉園工程股份有限公司-紘園土石方資源堆置場,(308)新竹縣寶山鄉三叉凸段二二四八、二三二四至二三二七、二三五○至二三六八、二四二八至二四三三、二四三五、二四五五至二四六三、二四六八、二五四六至二五五六、二五八○、二五八四至二五九四地號,公告/附表,內政部(營造業),20260106,20310106,R-0503,營建混合物,"工程施工建造、建築拆除、裝修工程及整地刨除所產生之事業廢棄物 (內政部(營造業))",非農業用地工程填地材料,500,公噸/月
新竹縣,J63A3270,晉園工程股份有限公司-紘園土石方資源堆置場,(308)新竹縣寶山鄉三叉凸段二二四八、二三二四至二三二七、二三五○至二三六八、二四二八至二四三三、二四三五、二四五五至二四六三、二四六八、二五四六至二五五六、二五八○、二五八四至二五九四地號,公告/附表,內政部(營造業),20260106,20310106,R-0503,營建混合物,"工程施工建造、建築拆除、裝修工程及整地刨除所產生之事業廢棄物 (內政部(營造業))",混凝土粒料及建材原料,1000,公噸/月
新竹縣,J63A3270,晉園工程股份有限公司-紘園土石方資源堆置場,(308)新竹縣寶山鄉三叉凸段二二四八、二三二四至二三二七、二三五○至二三六八、二四二八至二四三三、二四三五、二四五五至二四六三、二四六八、二五四六至二五五六、二五八○、二五八四至二五九四地號,公告/附表,內政部(營造業),20260106,20310106,R-0503,營建混合物,"工程施工建造、建築拆除、裝修工程及整地刨除所產生之事業廢棄物 (內政部(營造業))",磚瓦原料,500,公噸/月
新竹縣,J63A3270,晉園工程股份有限公司-紘園土石方資源堆置場,(308)新竹縣寶山鄉三叉凸段二二四八、二三二四至二三二七、二三五○至二三六八、二四二八至二四三三、二四三五、二四五五至二四六三、二四六八、二五四六至二五五六、二五八○、二五八四至二五九四地號,公告/附表,內政部(營造業),20260106,20310106,R-0503,營建混合物,"工程施工建造、建築拆除、裝修工程及整地刨除所產生之事業廢棄物 (內政部(營造業))",營建工程材料,500,公噸/月
屏東縣,T46A1455,東餘畜牧場,(913)屏東縣萬丹鄉崙東路一七九號,公告/附表,內政部(營造業),20240923,20290923,R-0119,動物性廢渣,公告可直接再利用：食品製造業在食品加工製程產生之動物性廢渣，其廢渣不得經化學處理，且不得含廢水處理之污泥。但依相關法規認定為有害事業廢棄物者，不適用之。(經濟部),飼料,5,公噸/月
屏東縣,T46A1455,東餘畜牧場,(913)屏東縣萬丹鄉崙東路一七九號,公告/附表,內政部(營造業),20240923,20290923,R-0120,植物性廢渣,公告可直接再利用：食品及飲料製造業在生產製程中所產生之植物性廢渣，其廢渣不得經化學處理，且不得含廢水處理之污泥。但依相關法規認定為有害事業廢棄物者，不適用之。(經濟部),飼料,5,公噸/月
屏東縣,T46A1455,東餘畜牧場,(913)屏東縣萬丹鄉崙東路一七九號,公告/附表,內政部(營造業),20240923,20290923,R-0701,廢木材,"公告可直接再利用；事業產生之廢木材（板、屑、木質電桿、木質橫擔或枕木）。但依相關法規認定為有害事業廢棄物者，不適用之。(經濟部) 事業廢棄物來源：事業產生之廢木材（板、屑）(內政部(營造業))",燃料,50,公噸/月
屏東縣,T46A1455,東餘畜牧場,(913)屏東縣萬丹鄉崙東路一七九號,公告/附表,內政部(營造業),20240923,20290923,R-0106,廚餘,事業產生之廚餘。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),飼料,75,公噸/月
